name,status,description,start_date,end_date,requirements,funding,contact,url
Développer les mobilités douces urbaines.,NA,"Le projet vise à développer les mobilités douces urbaines afin de faire face à l'urgence climatique. Il s'agit de promouvoir des modes de transport alternatifs tels que la marche, le vélo, les transports en commun, etc. Les bénéficiaires potentiels sont les collectivités locales, les entreprises, les associations et les particuliers. Pour plus de détails sur le dispositif, veuillez télécharger le document ""Action 1 - Mobilités douces urbaines"". Vous pouvez nous contacter via notre site web ou sur les réseaux sociaux.",NA,NA,"- Agir face à l'urgence climatique en développant les mobilités douces urbaines
- Bénéficiaires potentiels : non spécifiés
- Détail du dispositif : non spécifié
- Contact : non spécifié",NA,NA,https://www.europe-en-occitanie.eu/Developper-les-mobilites-douces-urbaines,
Développer les outils de gestion des risques.,NA,"Le projet concerne le développement des outils de gestion des risques et des programmes visant à réduire la vulnérabilité et à accroître la culture du risque. Il s'agit d'agir face à l'urgence climatique et de promouvoir une économie décarbonée. Le dispositif s'adresse à différents bénéficiaires potentiels. Pour plus de détails sur le dispositif, vous pouvez télécharger le document ""Action 2 - Prévention risques inondation"" sur le site. Pour toute information complémentaire, vous pouvez nous contacter via les réseaux sociaux ou par e-mail.",NA,NA,"- Développer les outils de gestion des risques
- Réduire la vulnérabilité et augmenter la culture du risque
- Agir face à l'urgence climatique
- Promouvoir une économie décarbonée
- Prévenir les risques d'inondation",NA,NA,https://www.europe-en-occitanie.eu/Developper-les-outils-de-gestion-des-risques-et-les-programmes-qui-visent-a-reduire,
"Favoriser l’utilisation des énergies renouvelables par la sensibilisation, l’information et le conseil.",NA,"Le projet vise à favoriser l'utilisation des énergies renouvelables en sensibilisant, informant et conseillant les personnes. Il vise à agir face à l'urgence climatique et à promouvoir une économie décarbonée. Les bénéficiaires potentiels sont ceux qui souhaitent s'engager dans la transition énergétique. Le dispositif prévoit des actions d'animation et d'information sur les énergies renouvelables. Pour plus de détails, veuillez contacter le service responsable.",NA,NA,"- Favoriser l'utilisation des énergies renouvelables par la sensibilisation, l'information et le conseil
- Agir face à l'urgence climatique et pour une économie décarbonée
- Bénéficiaires potentiels : non spécifiés
- Contact : non spécifié",NA,"Contact: 
Twitter: NA
Facebook: NA
Youtube: NA
Instagram: NA
Linkedin: NA",https://www.europe-en-occitanie.eu/Favoriser-l-utilisation-des-energies-renouvelables-par-la-sensibilisation-l,
Animation Natura 2000,NA,"Le dispositif ""FEADER Occitanie 2023-2027 - Animation Natura 2000"" vise à soutenir l'animation des sites Natura 2000 terrestres et mixtes situés en Occitanie, ainsi que l'élaboration et la révision des documents d'objectif de ces sites. Les candidatures doivent être déposées sur le site de dépôt dématérialisé des demandes d'aide ""Euro-pac"".",NA,NA,"- Le dispositif FEADER Occitanie 2023-2027 soutient l'animation des sites Natura 2000 terrestres et mixtes ainsi que l'élaboration et la révision des documents d'objectif de ces sites.
- Les bénéficiaires potentiels sont les organisations et structures impliquées dans l'animation des sites Natura 2000 en Occitanie.
- Les candidatures doivent être déposées sur le site de dépôt dématérialisé des demandes d'aide ""Euro-pac"".
- Pour plus d'informations et pour déposer votre dossier, suivez le lien fourni.
- Il existe d'autres dispositifs et financements européens disponibles en Occitanie, consultez le site pour plus de détails.
- Vous pouvez nous contacter via les réseaux sociaux (Twitter, Instagram, Linkedin) ou par le biais du formulaire de contact disponible sur le site.",NA,NA,https://www.europe-en-occitanie.eu/Animation-Natura-2000-FEADER-23-27,
FEADER Occitanie 2023-2027 - Contrats Natura 2000,NA,"Le dispositif FEADER Occitanie 2023-2027 - Contrats Natura 2000 vise à financer les actions de préservation et de restauration des habitats et des espèces d'intérêt communautaire dans les sites Natura 2000 en Occitanie. Les bénéficiaires potentiels de ce programme peuvent consulter l'appel à projet et déposer leur dossier sur le site de dépôt dématérialisé des demandes d'aide ""Euro-pac"". Pour plus d'informations, veuillez nous contacter.",NA,NA,"- Financer l’ensemble des actions contribuant à la préservation et la restauration des habitats et espèces d’intérêt communautaire au sein des sites Natura 2000.
- Les bénéficiaires potentiels sont mentionnés, mais pas précisés dans le texte.
- Le dépôt des dossiers de candidature se fait sur le site de dépôt dématérialisé des demandes d’aide ""Euro-pac"".",NA,NA,https://www.europe-en-occitanie.eu/Contrats-Natura-2000-FEADER-23-27,
FEADER Occitanie 2023-2027 - Défense des Forêts contre l’incendie (DFCI),NA,"Le projet est lié au FEADER Occitanie 2023-2027 - Défense des Forêts contre l'incendie (DFCI). Les objectifs sont de soutenir les équipements, infrastructures et travaux visant à faciliter la prévention et la lutte contre les incendies et à protéger les massifs forestiers. Les bénéficiaires potentiels sont invités à déposer leurs dossiers sur le site de dépôt dématérialisé des demandes d'aide ""Euro-pac"".",NA,NA,"- Défense des Forêts contre l’incendie (DFCI)
- Soutien aux équipements, infrastructures et travaux de prévention et lutte contre les incendies
- Protection des massifs forestiers
- Candidature via le site de dépôt dématérialisé ""Euro-pac""",NA,NA,https://www.europe-en-occitanie.eu/Defense-des-Forets-contre-incendie-FEADER-23-27,
Desserte forestière,NA,"Le projet concerne le développement de la desserte forestière en Occitanie, afin de faciliter l'accès à la ressource forestière et soutenir les entreprises locales de transformation du bois. Le dépôt des dossiers de candidature se fait sur le site ""Euro-pac"".",NA,NA,"- Le projet doit concerner le développement de la desserte forestière.
- Les bénéficiaires potentiels sont les entreprises locales de transformation du bois.
- Les dossiers doivent être déposés sur le site de dépôt dématérialisé des demandes d'aide ""Euro-pac"".
- Les informations complètes sur l'appel à projet et le dépôt de dossier sont disponibles en suivant le lien fourni.
- Le projet doit être en conformité avec les politiques européennes.
- Le site utilise des cookies et les utilisateurs ont le contrôle sur ce qu'ils souhaitent activer.",NA,NA,https://www.europe-en-occitanie.eu/Desserte-forestiere-FEADER-23-27,
Dotation Jeune Agriculteur (DJA),NA,"Le projet en question concerne le FEADER Occitanie 2023-2027 - Dotation Jeune Agriculteur. Il s'agit d'une aide aux jeunes agriculteurs pour le démarrage de leur activité agricole. Les bénéficiaires potentiels peuvent consulter l'appel à projet complet sur le site de dépôt dématérialisé des demandes d'aide ""Euro-pac"" à partir de janvier 2024. Pour plus d'informations, veuillez nous contacter.",NA,NA,"- Aide aux jeunes agriculteurs pour le démarrage de leur activité agricole
- Bénéficiaires potentiels sont les jeunes agriculteurs
- Modalités de candidature indiquées dans l'appel à projet complet
- Dépôt des dossiers sur le site de dépôt dématérialisé des demandes d'aide ""Euro-pac"" à partir de janvier 2024.",NA,NA,https://www.europe-en-occitanie.eu/Dotation-Jeune-Agriculteur-FEADER-23-27,
Dotation Nouvel Agriculteur (DNA),NA,"Le projet en question est le programme de la Dotation Nouvel Agriculteur (DNA) financé par le Fonds européen agricole pour le développement rural (FEADER) en Occitanie pour la période 2023-2027. Ce programme vise à soutenir les nouveaux agriculteurs dans le démarrage de leur activité agricole. Les bénéficiaires potentiels sont les agriculteurs débutants qui souhaitent se lancer dans l'agriculture. Les modalités de candidature et les documents nécessaires sont disponibles dans l'appel à projet sur le site de dépôt dématérialisé des demandes d'aide ""Euro-pac"". Pour plus d'informations, veuillez contacter les responsables du programme.",NA,NA,"- Aide aux nouveaux agriculteurs pour le démarrage de leur activité agricole.
- Bénéficiaires potentiels: nouveaux agriculteurs.
- Le dépôt des dossiers a lieu sur le site de dépôt dématérialisé des demandes d'aide ""Euro-pac"".",NA,NA,https://www.europe-en-occitanie.eu/Dotation-Nouvel-Agriculteur-FEADER-23-27,
FEADER Occitanie 2023-2027 - Investissements dans les exploitations agricoles,NA,"Le dispositif d’aide unique aux exploitations agricoles permet l’accompagnement d’un projet global d’exploitation avec plusieurs axes de développement et d’investissements répondant aux enjeux de l’agriculture durable. Le dépôt des dossiers se fait sur le site de dépôt dématérialisé des demandes d’aide ""Euro-pac"". Pour consulter l’appel à projet et pour plus d'informations, veuillez suivre le lien fourni.",NA,NA,"- The project should have a global approach to agricultural exploitation.
- The project should have multiple axes of development and investment.
- The project should address the challenges of sustainable agriculture.
- The beneficiaries can be individuals or organizations involved in agricultural activities.
- The application must be submitted through the online platform ""Euro-pac"".",NA,NA,https://www.europe-en-occitanie.eu/Investissements-exploitations-agricoles-FEADER23-27,
FEADER Occitanie 2023-2027 - Investissements dans les exploitations agricoles - volet CUMA,NA,Le dispositif d’aide unique aux exploitations agricoles et aux CUMA permet l’accompagnement d’un projet global répondant aux enjeux de l’agriculture durable.,NA,NA,"- Le projet doit être lié à l'agriculture et aux exploitations agricoles.
- Le projet doit répondre aux enjeux de l'agriculture durable.
- Les bénéficiaires potentiels peuvent être des exploitations agricoles et des CUMA (Coopératives d'Utilisation de Matériel Agricole).
- Le dépôt des dossiers doit être effectué sur le site de dépôt dématérialisé des demandes d'aide ""Euro-pac"".",NA,NA,https://www.europe-en-occitanie.eu/Investissements-exploitations-agricoles-CUMA-FEADER23-27,
MAEC Transition Volet Autonomie protéique,NA,"Le projet MAEC ""Transition des pratiques"" vise à soutenir les éleveurs dans le changement de leurs pratiques afin d'améliorer l'autonomie protéique de leur exploitation. Les bénéficiaires potentiels peuvent trouver plus d'informations et consulter l'appel à projets sur le site de dépôt dématérialisé des demandes d'aide ""Euro-pac"".",NA,NA,"- Improve the protein self-sufficiency of livestock farming practices.
- Support the transition to new farming practices.
- Enhance the autonomy of protein supply for farming operations.
- Targeted beneficiaries are livestock farmers.
- Applications must be submitted through the Euro-pac online platform.
- Detailed information on the application process can be found in the complete call for projects document.
- The call for projects is available on the Euro-pac website.
- Contact information for further inquiries can be obtained through the Euro-pac website.",NA,NA,https://www.europe-en-occitanie.eu/MAEC-Transition-Volet-Autonomie-proteique-FEADER-23-27,
FEADER Occitanie 2023-2027 - Mobilisation des bois par câble,NA,"Le projet ""Mobilisation des bois par câble"" vise à exploiter les forêts difficiles d'accès en utilisant la technique de l'exploitation par câble. L'objectif est de préserver la biodiversité et les sols en évitant la création d'infrastructures permanentes. Les bénéficiaires potentiels peuvent obtenir plus d'informations et déposer leur dossier sur le site de dépôt dématérialisé des demandes d'aide ""Euro-pac"".",NA,NA,"- Exploitation par câble pour la mobilisation des bois des forêts difficiles d'accès
- Préservation de la biodiversité et des sols
- Candidature en ligne sur le site ""Euro-pac""
- Bénéficiaires potentiels non précisés",NA,NA,https://www.europe-en-occitanie.eu/Mobilisation-des-bois-par-cable-FEADER-23-27,
Le projet est appelé FEADER Occitanie 2023-2027 - Partenariat Européen pour l’Innovation.,NA,"Le FEADER Occitanie 2023-2027 est un dispositif qui vise à soutenir la mise en œuvre des projets des Groupes Opérationnels du Partenariat Européen pour l’Innovation (GO PEI). Les bénéficiaires potentiels sont invités à déposer leurs dossiers sur le site de dépôt dématérialisé des demandes d’aide ""Euro-pac"". Pour plus d'informations, veuillez consulter l'appel à projet disponible sur le site.",NA,NA,"- The project must be eligible for funding from the FEADER Occitanie 2023-2027.
- The project must be related to the implementation of projects of the Operational Groups of the European Innovation Partnership.
- The application must be submitted online through the ""Euro-pac"" platform.",NA,NA,https://www.europe-en-occitanie.eu/Partenariat-Europeen-Innovation-FEADER-23-27,
Le projet n'est pas mentionné dans le texte.,NA,"Le projet concerne le soutien aux investissements des entreprises agroalimentaires dans la région Occitanie. Les bénéficiaires potentiels sont les entreprises agroalimentaires de la région. Les modalités de candidature sont disponibles sur le site de dépôt dématérialisé des demandes d'aide ""Euro-pac"". Le projet est financé par les Fonds Européens et vise à soutenir les investissements matériels et immatériels des entreprises agroalimentaires. Les informations détaillées sur le projet peuvent être consultées sur le site de la région Occitanie.",NA,NA,"- Aides aux investissements matériels et immatériels des entreprises agroalimentaires
- Contexte et objectifs
- Bénéficiaires potentiels
- Modalités de candidature",NA,NA,https://www.europe-en-occitanie.eu/Soutien-investissements-entreprises-agro-FEADER23-27,
Investir dans des projets de smart-grid ou de solutions de flexibilité du réseau public d'électricité.,NA,"Le projet consiste à investir dans des projets de smart-grid ou de solutions de flexibilité du réseau public d'électricité dans le but de lutter contre l'urgence climatique et de favoriser une économie décarbonée. Ce dispositif est destiné à différents bénéficiaires potentiels. Pour plus de détails sur ce dispositif et pour toute demande de contact, veuillez consulter les téléchargements disponibles sur le site.",NA,NA,"- Investir dans des projets de smart-grid ou de solutions de flexibilité du réseau public d’électricité.
- Agir face à l’urgence climatique et pour une économie décarbonée.
- Bénéficiaires potentiels : non spécifié.
- Détail du dispositif : non spécifié.
- Contact : non spécifié.",NA,NA,https://www.europe-en-occitanie.eu/Investir-dans-des-projets-de-smart-grid-ou-de-solutions-de-flexibilite-du-reseau,
Investir dans les équipements et installations de production d'énergies à partir de sources renouvelables.,NA,"Le projet consiste à investir dans des équipements et installations de production d'énergies à partir de sources renouvelables. Il vise à agir face à l'urgence climatique et à promouvoir une économie décarbonée. Les bénéficiaires potentiels peuvent obtenir plus d'informations en téléchargeant le document ""Action 2 - Investissement équipements et installation de production d'énergies"". Pour tout contact, veuillez nous contacter via les réseaux sociaux ou consultez le site officiel pour plus d'informations.",NA,NA,"- Investir dans les équipements et installations de production d'énergies à partir de sources renouvelables
- Agir face à l'urgence climatique et pour une économie décarbonée",NA,NA,https://www.europe-en-occitanie.eu/Investir-dans-les-equipements-et-installations-de-production-d-energies-a-partir-de,
"Investir dans les installations et équipements en faveur de la production, distribution, du stockage et de l’usage de l’hydrogène renouvelable",NA,"Il s'agit d'un dispositif visant à investir dans les installations et équipements en faveur de la production, distribution, du stockage et de l'usage de l'hydrogène renouvelable dans le but d'agir face à l'urgence climatique et pour une économie décarbonée. Les bénéficiaires potentiels peuvent obtenir plus d'informations en téléchargeant le document d'action disponible sur le site. Pour plus de détails ou pour tout contact, veuillez consulter les coordonnées disponibles sur le site.",NA,NA,"- Les bénéficiaires doivent investir dans les installations et équipements en faveur de la production, distribution, du stockage et de l'usage de l'hydrogène renouvelable.
- Le projet doit contribuer à agir face à l'urgence climatique et pour une économie décarbonée.
- Les détails du dispositif peuvent être consultés dans le document ""Action 1 - Hydrogène"".
- Les personnes intéressées peuvent prendre contact pour plus d'informations.",NA,NA,https://www.europe-en-occitanie.eu/Investir-dans-les-installations-et-equipements-en-faveur-de-la-production,
Lutter contre la désertification médicale dans les zones rurales.,NA,"Le projet consiste à lutter contre la désertification médicale dans les zones rurales en promouvant le rééquilibrage territorial et en réduisant les disparités. Les bénéficiaires potentiels sont les acteurs et les structures impliquées dans la santé et les soins dans ces régions. Pour plus d'informations, veuillez nous contacter.",NA,NA,"- Promote territorial rebalancing by reducing disparities and valorizing resources
- Target areas affected by medical desertification in rural zones
- Combat the shortage of medical professionals in these areas
- Develop strategies and initiatives to attract and retain healthcare professionals
- Improve access to healthcare services in rural areas
- Enhance the healthcare infrastructure in these regions
- Support innovative solutions and technologies in the healthcare sector
- Foster cooperation and collaboration between healthcare professionals and institutions in rural zones
- Evaluate the impact and effectiveness of the implemented measures
- Ensure the sustainability and long-term viability of healthcare services in these areas.",NA,NA,https://www.europe-en-occitanie.eu/Lutter-contre-la-desertification-medicale-dans-les-zones-rurales,
Lutter contre la désertification médicale dans les zones urbaines défavorisées.,NA,Lutter contre la désertification médicale dans les zones urbaines défavorisées,NA,NA,"- Lutter contre la désertification médicale dans les zones urbaines défavorisées
- Promouvoir le rééquilibrage territorial en réduisant les disparités et en valorisant les ressources",NA,NA,https://www.europe-en-occitanie.eu/Lutter-contre-la-desertification-medicale-dans-les-zones-urbaines-defavorisees,
Mieux trier et recycler les déchets,NA,"Le projet concerne le tri et le recyclage des déchets avec pour objectif de lutter contre l'urgence climatique et promouvoir une économie décarbonée. Les bénéficiaires potentiels sont les acteurs impliqués dans la gestion des déchets. Les détails du dispositif peuvent être consultés sur le site officiel. Pour plus d'informations, veuillez contacter les personnes responsables.",NA,NA,"- Mieux trier et recycler les déchets
- Agir face à l'urgence climatique et pour une économie décarbonée",NA,NA,https://www.europe-en-occitanie.eu/Mieux-trier-et-recycler-les-dechets,
"Moderniser et créer des centres de formation dédiés aux apprentis, aux formations paramédicales et/ou en travail social et aux établissements d'enseignement supérieur dans les zones rurales.",NA,"Le projet consiste à moderniser et créer des centres de formation dédiés aux apprentis, aux formations paramédicales et/ou en travail social et d’éducation supérieure dans les zones rurales. L'objectif est de promouvoir le rééquilibrage territorial en réduisant les disparités et en valorisant les ressources. Les bénéficiaires potentiels du dispositif sont les organismes de formation situés dans les zones rurales. Pour plus d'informations, veuillez contacter le service compétent.",NA,NA,"- Moderniser et créer des centres de formation dédiés aux apprentis, aux formations paramédicales et/ou en travail social et d'éducation supérieure dans les zones rurales.
- Promouvoir le rééquilibrage territorial en réduisant les disparités et en valorisant les ressources.
- Les bénéficiaires potentiels du projet ne sont pas détaillés dans le texte.
- Le dispositif sera détaillé dans le téléchargement ""Action 5 - Centres de formation en zone rurale"".
- Les coordonnées pour contacter l'organisation ne sont pas fournies dans le texte.",NA,NA,https://www.europe-en-occitanie.eu/Moderniser-et-creer-des-centres-de-formation-dedies-aux-apprentis-aux-formation,
"Le projet est ""Moderniser et créer des centres de formation dédiés aux apprentis, aux formations paramédicales et/ou en travail social et d’éducation supérieure dans les zones urbaines"".",NA,"Le projet consiste à moderniser et créer des centres de formation dédiés aux apprentis, aux formations paramédicales et/ou en travail social et d’éducation supérieure dans les zones urbaines. L'objectif est de promouvoir le rééquilibrage territorial en réduisant les disparités et en valorisant les ressources. Le dispositif est ouvert aux bénéficiaires potentiels intéressés par ce type de projet.",NA,NA,"- Moderniser et créer des centres de formation dédiés aux apprentis, aux formations paramédicales et/ou en travail social et d'éducation supérieure dans les zones urbaines
- Promouvoir le rééquilibrage territorial en réduisant les disparités et en valorisant les ressources",NA,NA,https://www.europe-en-occitanie.eu/Moderniser-et-creer-des-centres-de-formation-dedies-aux-apprentis-aux-formations,
"Préserver et restaurer les infrastructures vertes et bleues, y compris dans l’environnement urbain.",NA,"Il s'agit d'un dispositif visant à préserver et restaurer les infrastructures vertes et bleues, y compris dans l'environnement urbain, dans le contexte de l'urgence climatique et de la transition vers une économie circulaire. Le dispositif s'adresse à différents bénéficiaires et des détails supplémentaires sont disponibles en téléchargement. Pour plus d'informations, il est possible de contacter l'organisme responsable.",NA,NA,"- Preserving and restoring green and blue infrastructure, including in urban environments
- Acting on climate emergency and promoting circular economy
- Beneficiaries: potential beneficiaries of the funding
- Details of the scheme: more information about the funding scheme
- Contact: contact information for further inquiries or assistance",NA,NA,https://www.europe-en-occitanie.eu/Preserver-et-restaurer-les-infrastructures-vertes-et-bleues-y-compris-dans-l,
Préserver et restaurer les populations de poissons grands migrateurs de la Garonne et de ses affluents.,NA,"Le projet vise à préserver et restaurer les populations de poissons grands migrateurs de la Garonne et de ses affluents. Il s'inscrit dans une démarche de protection de l'environnement et de lutte contre le changement climatique. Les bénéficiaires potentiels sont les acteurs impliqués dans la gestion et la préservation des cours d'eau. Le dispositif détaille les actions à mettre en place et les critères d'éligibilité. Pour plus d'informations, vous pouvez contacter les responsables du projet.",NA,NA,"- Préserver et restaurer les populations de poissons grands migrateurs de la Garonne et de ses affluents.
- Agir face à l'urgence climatique et pour une économie décarbonée.",NA,NA,https://www.europe-en-occitanie.eu/Preserver-et-restaurer-les-populations-de-poissons-grands-migrateurs-de-la-Garonne,
Réaliser les travaux permettant de réduire les inondations.,NA,"Le projet consiste à réaliser des travaux visant à réduire les risques d'inondations. Il s'inscrit dans le contexte de l'urgence climatique et de la transition vers une économie décarbonée. Les bénéficiaires potentiels de ce projet sont les acteurs impliqués dans la gestion des risques d'inondation. Pour plus de détails sur le dispositif et pour nous contacter, veuillez consulter les informations fournies.",NA,NA,"- Réaliser les travaux permettant de réduire les inondations
- Agir face à l'urgence climatique et pour une économie décarbonée",NA,NA,https://www.europe-en-occitanie.eu/Realiser-les-travaux-permettant-de-reduire-les-inondations,
